"","INSTNM","GRAD_DEBT_MDN"
"6235","San Joaquin Valley College - San Diego","10673"
"6236","San Joaquin Valley College - Madera","10673"
"6237","San Joaquin Valley College - Delano","10673"
"6238","San Joaquin Valley College - Atascadero","10673"
"6239","Jesuit School of Theology of Santa Clara University","19500"
"6240","Thomas Aquinas College - New England","18000"
"6241","Wright Institute (The) -","PrivacySuppressed"
"6242","Colorado Technical University-Denver","30490"
"6243","Denver Seminary - Washington DC","PrivacySuppressed"
"6244","Denver Seminary - West Texas","PrivacySuppressed"
"6245","Otero Junior College - La Junta High School","9500"
"6246","Otero Junior College - East School","9500"
"6247","Otero Junior College - Fort Lyon Colorado Coalition for the Homeless","9500"
"6248","Three Rivers Community College - Corrigan-Radgowski Correctional Cente","10000"
"6249","Three Rivers Community College - York Correctional Institution","10000"
"6250","Porter and Chester Institute of Rocky Hill","12350"
"6251","Porter and Chester Institute of Enfield","12350"
"6252","Porter and Chester Institute of Waterbury","12350"
"6253","Porter and Chester Institute of Chicopee","12350"
"6254","Porter and Chester Institute of Worcester","12350"
"6255","Porter and Chester Institute of Canton","12350"
"6256","Porter and Chester Institute - New London","12350"
"6257","Delaware Technical Community College-Owens","9000"
"6258","Delaware Technical Community College-Stanton/Wilmington","9000"
"6259","Strayer University-Takoma Park Campus","40023"
"6260","Barry University Law School","28235"
"6261","Keiser University-Melbourne","25425"
"6262","Keiser University-Tallahassee","25425"
"6263","Keiser University-Daytona","25425"
"6264","Keiser University-Lakeland","25425"
"6265","Keiser University- Miami","25425"
"6266","Keiser University-Orlando","25425"
"6267","Keiser University-Sarasota","25425"
"6268","Keiser University-Jacksonville","25425"
"6269","Keiser University-Tampa","25425"
"6270","Keiser University-Pembroke Pines","25425"
"6271","Keiser University-Port St Lucie","25425"
"6272","Keiser University-West Palm Beach","25425"
"6273","Keiser University-Ft Myers","25425"
"6274","Keiser University -  Clearwater","25425"
"6275","Keiser University - NPR","25425"
"6276","Keiser University - Residential","25425"
"6277","Maynard A. Traviss Technical College - Central Florida Aerospace Academy","PrivacySuppressed"
"6278","Miami Lakes Educational Center and Technical College -","PrivacySuppressed"
"6279","Rasmussen College-New Port Richey","20000"
"6280","Rasmussen College-Fort Myers","20000"
"6281","Rasmussen College-Tampa/Brandon","20000"
"6282","Rasmussen College-Land O' Lakes","20000"
"6283","East Georgia State College - Statesboro","11500"
"6284","East Georgia State College - Augusta","11500"
"6285","Moody Theological Seminary and Graduate School--Michigan","14000"
"6286","Saint Anthony College of Nursing - Highland Community College Campus","21250"
"6287","Saint Anthony College of Nursing - Sauk Valley Community College Campus","21250"
"6288","Triton College - Intl Union of Operating Engr Local 399 Trning Fac.","9455"
"6289","PJ's College of Cosmetology- Brownsburg","9833"
"6290","PJ's College of Cosmetology-Crestwood","9833"
"6291","PJ's College of Cosmetology- Jeffersonville","9833"
"6292","Ivy Tech Community College-Northcentral","11264"
"6293","Ivy Tech Community College-Columbus","11264"
"6294","Ivy Tech Community College-East Central","11264"
"6295","Ivy Tech Community College-Kokomo","11264"
"6296","Ivy Tech Community College-Lafayette","11264"
"6297","Ivy Tech Community College-Northeast","11264"
"6298","Ivy Tech Community College-South Central","11264"
"6299","Ivy Tech Community College-Southwest","11264"
"6300","Ivy Tech Community College-Wabash Valley","11264"
"6301","Ivy Tech Community College-Richmond","11264"
"6302","Ivy Tech Community College-Northwest","11264"
"6303","Ivy Tech Community College-Southeast","11264"
"6304","Ivy Tech Community College-Bloomington","11264"
"6305","Ivy Tech Community College-Central Indiana","11264"
"6306","Indiana Wesleyan University - Marion Design Co.","24250"
"6307","University of Notre Dame -","19000"
"6308","Graceland University - Independence","20905"
"6309","Baker University School of Nursing","26000"
"6310","Baker University School of Professional and Graduate Studies and Graduate School of Education","26000"
"6311","Coffeyville Technical Campus","7747"
"6312","Columbus Technical Campus","7747"
"6313","Old Town Barber College - KC","13000"
"6314","PJ's College of Cosmetology- Greenfield","7917"
"6315","PJ's College of Cosmetology- Muncie","7917"
"6316","PJ's College of Cosmetology- Indianapolis","7917"
"6317","PJ's College of Cosmetology- Plainfield","7917"
"6318","PJ's College of Cosmetology- Louisville","7917"
"6319","Southeastern Louisiana University - EBR Parish School System Prof Dev","21500"
"6320","Southeastern Louisiana University - St Amant High School","21500"
"6321","Southeastern Louisiana University - Destrahan High School","21500"
"6322","Southeastern Louisiana University - Albert Cammon Middle School","21500"
"6323","Empire Beauty School-Bangor","13000"
"6324","Cecil College - Elkton Station","9500"
"6325","Hillsdale Beauty College","PrivacySuppressed"
"6326","Baker College of Owosso","26219"
"6327","Baker College of Allen Park","26219"
"6328","Baker College of Auburn Hills","26219"
"6329","Baker College of Cadillac","26219"
"6330","Baker College of Clinton Township","26219"
"6331","Baker College of Jackson","26219"
"6332","Baker College of Muskegon","26219"
"6333","Baker College of Port Huron","26219"
"6334","Baker College Center for Graduate Studies","26219"
"6335","Baker College - Flint","26219"
"6336","Davenport University-Warren Location","26512"
"6337","Davenport University-Kalamazoo Location","26512"
"6338","Davenport University-Lansing Location","26512"
"6339","Davenport University-Midland Location","26512"
"6340","Davenport University-Holland Location","26512"
"6341","Davenport University-Flint Location","26512"
"6342","Davenport University-Traverse City Location","26512"
"6343","Davenport University-Livonia Location","26512"
"6344","Davenport University-Grand Rapids Downtown","26512"
"6345","Davenport University - Treasury Site Dimondale","26512"
"6346","Davenport University - Wayne CCCD","26512"
"6347","Davenport University - Macomb CC","26512"
"6348","Davenport University - Schoolcraft College","26512"
"6349","Davenport University - Detroit","26512"
"6350","Anoka-Ramsey Community College-Cambridge Campus","14250"
"6351","Central Lakes College-Staples Campus","10473"
"6352","M State - Detroit Lakes Campus","12000"
"6353","M State - Moorhead Campus","12000"
"6354","M State - Wadena Campus","12000"
"6355","South Central College-Faribault","12000"
"6356","Mayo Clinic College of Medicine and Science - Florida","12000"
"6357","Mayo Clinic College of Medicine and Science - Arizona","12000"
"6358","Mesabi Range College","10283"
"6359","Northland Community and Technical College - East Grand Forks","12264"
"6360","Rasmussen College-Bloomington","20000"
"6361","Rasmussen College-Eagan","20000"
"6362","Rasmussen College-Mankato","20000"
"6363","Rasmussen College-Brooklyn Park","20000"
"6364","Rasmussen College-Lake Elmo/Woodbury","20000"
"6365","Rasmussen College-Blaine","20000"
"6366","Minnesota State CollegeSoutheast-Red Wing Campus","12986"
"6367","Copiah-Lincoln Community College Simpson County Center","7500"
"6368","Copiah-Lincoln Community College-Natchez Campus","7500"
"6369","University of Mississippi Medical Center","20335"
"6370","Pearl River Community College-Forrest County Center","9000"
"6371","Columbia College - Redstone Arsenal","24000"
"6372","Columbia College - Denver","24000"
"6373","Columbia College - NAS Jacksonville","24000"
"6374","Columbia College - Orlando","24000"
"6375","Columbia College - Crystal Lake Campus","24000"
"6376","Columbia College - Kansas City","24000"
"6377","Columbia College - Fort Leonard Wood","24000"
"6378","Columbia College - Jefferson City","24000"
"6379","Columbia College - Lake Ozark","24000"
"6380","Columbia College - Saint Louis","24000"
"6381","Columbia College - Fort Worth","24000"
"6382","Columbia College - Salt Lake","24000"
"6383","Columbia College - Lake County","24000"
"6384","Columbia College - Naval Station Everett/Marysville","24000"
"6385","Columbia College - Freeport","24000"
"6386","Columbia College - Springfield","24000"
"6387","Columbia College - Rolla","24000"
"6388","Columbia College - Los Alamitos","24000"
"6389","Columbia College - Lemoore","24000"
"6390","Columbia College - San Luis Obispo","24000"
"6391","Columbia College - Fort Stewart","24000"
"6392","Columbia College - Hunter Army Airfield","24000"
"6393","Columbia College - Elgin","24000"
"6394","Columbia College - Hancock Field","24000"
"6395","Columbia College - Whidbey Island","24000"
"6396","Columbia College - Fort Drum","24000"
"6397","Columbia College -  Jacksonville","24000"
"6398","Columbia College - Fort Sill","24000"
"6399","Columbia College - San Diego","24000"
"6400","Columbia College - Mesquite","24000"
"6401","Columbia College - Waynesville","24000"
"6402","Columbia College - Naval Base San Diego","24000"
"6403","Columbia College - Imperial","24000"
"6404","Columbia College - NSB Kings Bay","24000"
"6405","Columbia College - Waynesville","24000"
"6406","Evangel University - Assemblies of God Theological Seminary","24000"
"6407","Lindenwood University-Belleville","26327"
"6408","City College Montana State University Billings","18538"
"6409","University of Montana (The) - Bitterroot College University of Montana","21500"
"6410","New Hampshire Institute for Therapeutic Arts","5118"
"6411","American Institute","12074"
"6412","Monmouth University -  Monmouth Park Corporate Center","26899"
"6413","Bard College - Holyoke Microcollege","25910"
"6414","Bard College - Coxsackie Correctional Facility","25910"
"6415","Bard College - Eastern NY Correctional Facility","25910"
"6416","Bard College - Fishkill Correctional Facility","25910"
"6417","Bard College - Green Haven Correctional Facility","25910"
"6418","Bard College - Taconic Correctional Facility","25910"
"6419","Bard College - Woodbourne Correctional Facility","25910"
"6420","Bard College - BHSEC Newark","25910"
"6421","Bard College - Brooklyn Public Library","25910"
"6422","Bard College - MAT Program CA","25910"
"6423","Berkeley College - Westchester Campus","30581"
"6424","Bryant & Stratton College-Syracuse","20884"
"6425","Bryant & Stratton College-Amherst","20884"
"6426","Bryant & Stratton College-Southtowns","20884"
"6427","Bryant & Stratton College-Henrietta","20884"
"6428","Culinary Institute of America at Greystone","14000"
"6429","Culinary Institute of America San Antonio","14000"
"6430","CUNY Brooklyn College - Feirstein Graduate School of Cinema","11000"
"6431","Jamestown Business College -","14000"
"6432","NYSMedical&Dental Assistants - American Institute of Clinical Massage","8181"
"6433","Pratt Manhattan-A Division of Pratt Institute","26000"
"6434","Rabbinical Seminary of America-Ma'yan HaTorah","PrivacySuppressed"
"6435","Saint Elizabeth College of Nursing","16000"
"6436","Saint John's University - Staten Island Campus","25000"
"6437","Gaston College","PrivacySuppressed"
"6438","Winston - Salem Barber School - Satellite","PrivacySuppressed"
"6439","Bryant & Stratton College-Akron","20884"
"6440","Bryant & Stratton College-Solon","20884"
"6441","Bryant & Stratton College-Cleveland","20884"
"6442","Hebrew Union College-Jewish Institute of Religion-Cincinnati","PrivacySuppressed"
"6443","Hebrew Union College-Jewish Institute of Religion-Los Angeles","PrivacySuppressed"
"6444","Kettering College - Ollie Davis Medical Arts and Education Center","25347"
"6445","Mount Carmel College of Nursing - Fairfield","21500"
"6446","Los Angeles Center","18097"
"6447","Florida Center","18097"
"6448","Sacramento Center","18097"
"6449","Winebrenner Theological Seminary -","PrivacySuppressed"
"6450","University of Oklahoma - Douglass Learning Center","20718"
"6451","University of Oklahoma - Ft. Benning GA - AP","20718"
"6452","University of Oklahoma - Nellis Air Force Base","20718"
"6453","Western Seminary-San Jose","PrivacySuppressed"
"6454","Western Seminary-Sacramento","PrivacySuppressed"
"6455","The Beauty Institute","10488"
"6456","Bucks County Community College-Upper Bucks Campus","12879"
"6457","Bucks County Community College-Lower Bucks Campus","12879"
"6458","Harrisburg Area Community College-Lancaster","17500"
"6459","Harrisburg Area Community College-Gettysburg","17500"
"6460","Harrisburg Area Community College-Lebanon","17500"
"6461","Harrisburg Area Community College-York","17500"
"6462","New Castle School of Trades","9684"
"6463","New Castle School of Trades - East Liverpool Campus","9684"
"6464","Northampton County Area Community College-Monroe","15250"
"6465","South Hills School of Business and Technology-Altoona","16000"
"6466","Tennessee College of Applied Technology-Jacksboro -","PrivacySuppressed"
"6467","Galveston College - Charlie Thomas Family Applied Technology Center","9687"
"6468","San Jacinto College-North Campus","10115"
"6469","San Jacinto College-South Campus","10115"
"6470","Southwest School of Business and Technical Careers-South Texas","6896"
"6471","Texas A & M University Health Science Center","18265"
"6472","Snow College-Richfield Campus","6086"
"6473","Northern Vermont University - Northern Essex Community College","22424"
"6474","Northern Vermont University - Lyndon","22424"
"6475","Bluefield College - Edward Via College of Osteopathic Medicine","21500"
"6476","Bryant & Stratton College-Richmond","20884"
"6477","Bryant & Stratton College-Hampton","20884"
"6478","Strayer University-Alexandria Campus","40023"
"6479","Strayer University-Woodbridge Campus","40023"
"6480","Strayer University-Manassas Campus","40023"
"6481","Strayer University-Loudoun Campus","40023"
"6482","Strayer University-Fredericksburg Campus","40023"
